,name,id,nametype,recclass,mass_grams,fall,year,reclat,reclong,geolocation,geometry,state_abbrev_x,state,county,country,elevation,state_abbrev,FIPS
11,Nobleborough,16984,Valid,Eucrite-pmict,2300.0,Fell,1823,44.08333,-69.48333000000001,"(44.08333, -69.48333)",POINT (-69.48333 44.08333),None_Found,Maine,Lincoln County,United States,44.0,ME,23
12,Searsmont,23472,Valid,H5,5400.0,Fell,1871,44.36667,-69.2,"(44.36667, -69.2)",POINT (-69.2 44.36667),None_Found,Maine,Waldo County,United States,76.0,ME,23
13,Walnut Hill,24209,Valid,OC,220.0,Found,1978,43.827,-70.24717,"(43.827, -70.24717)",POINT (-70.24717 43.827),None_Found,Maine,Cumberland County,United States,68.0,ME,23
14,Archie,2329,Valid,H6,5070.0,Fell,1932,38.5,-94.3,"(38.5, -94.3)",POINT (-94.3 38.5),None_Found,Missouri,Cass County,United States,264.0,MO,29
15,Baxter,4977,Valid,L6,611.0,Fell,1916,36.75,-93.5,"(36.75, -93.5)",POINT (-93.5 36.75),None_Found,Missouri,Stone County,United States,294.0,MO,29
16,Cape Girardeau,5260,Valid,H6,2300.0,Fell,1846,37.26667,-89.58333,"(37.26667, -89.58333)",POINT (-89.58333 37.26667),None_Found,Missouri,Cape Girardeau County,United States,123.0,MO,29
17,Independence,12028,Valid,L6,880.0,Fell,1917,39.08333,-94.4,"(39.08333, -94.4)",POINT (-94.4 39.08333),None_Found,Missouri,Jackson County,United States,292.0,MO,29
18,Little Piney,14664,Valid,L5,491.0,Fell,1839,37.91667,-92.08333,"(37.91667, -92.08333)",POINT (-92.08333 37.91667),None_Found,Missouri,Pulaski County,United States,281.0,MO,29
19,Palmyra,18079,Valid,L3,135.0,Fell,1926,39.8,-91.5,"(39.8, -91.5)",POINT (-91.5 39.8),None_Found,Missouri,Marion County,United States,179.0,MO,29
20,St. Louis,23089,Valid,H4,1000.0,Fell,1950,38.7,-90.23333,"(38.7, -90.23333)",POINT (-90.23333 38.7),None_Found,Missouri,,United States,147.0,MO,29
21,Warrenton,24215,Valid,CO3.7,1600.0,Fell,1877,38.68333,-91.15,"(38.68333, -91.15)",POINT (-91.15 38.68333),None_Found,Missouri,Warren County,United States,173.0,MO,29
22,Billings,5047,Valid,"Iron, IIIAB",24500.0,Found,1903,37.06667,-93.55,"(37.06667, -93.55)",POINT (-93.55 37.06667),None_Found,Missouri,Christian County,United States,416.0,MO,29
23,Butler,5182,Valid,"Iron, ungrouped",41000.0,Found,1874,38.3,-94.36667,"(38.3, -94.36667)",POINT (-94.36667 38.3),None_Found,Missouri,Bates County,United States,257.0,MO,29
24,Conception Junction,53877,Valid,"Pallasite, PMG-an",17000.0,Found,2006,40.266667,-94.683333,"(40.266667, -94.683333)",POINT (-94.683333 40.266667),None_Found,Missouri,Nodaway County,United States,318.0,MO,29
25,De Kalb,6623,Valid,H,566.0,Found,1969,39.59167,-94.92194,"(39.59167, -94.92194)",POINT (-94.92194 39.59167),None_Found,Missouri,Buchanan County,United States,339.0,MO,29
26,Faucett,10077,Valid,H5,100000.0,Found,1966,39.61667,-94.86667,"(39.61667, -94.86667)",POINT (-94.86667 39.61667),None_Found,Missouri,Buchanan County,United States,329.0,MO,29
27,Harrisonville,11844,Valid,L6,46500.0,Found,1933,38.65,-94.33333,"(38.65, -94.33333)",POINT (-94.33333 38.65),None_Found,Missouri,Cass County,United States,295.0,MO,29
28,Jenkins,12080,Valid,"Iron, IAB-MG",55400.0,Found,1946,36.82444,-93.76111,"(36.82444, -93.76111)",POINT (-93.76111 36.82444),None_Found,Missouri,Barry County,United States,391.0,MO,29
29,Lanton,12463,Valid,"Iron, IIIAB",13780.0,Found,1932,36.53333,-91.8,"(36.53333, -91.8)",POINT (-91.8 36.53333),None_Found,Missouri,Howell County,United States,269.0,MO,29
30,Milton,16691,Valid,"Pallasite, ungrouped",2040.0,Found,2000,40.2875,-95.37667,"(40.2875, -95.37667)",POINT (-95.37667 40.2875),None_Found,Missouri,Atchison County,United States,305.0,MO,29
31,Mincy,16694,Valid,Mesosiderite-B4,89400.0,Found,1857,36.55,-93.1,"(36.55, -93.1)",POINT (-93.1 36.55),None_Found,Missouri,Taney County,United States,270.0,MO,29
32,Perryville,18795,Valid,"Iron, IIC",17500.0,Found,1906,37.73333,-89.85,"(37.73333, -89.85)",POINT (-89.85 37.73333),None_Found,Missouri,Perry County,United States,162.0,MO,29
33,Seymour,23511,Valid,"Iron, IAB-MG",25900.0,Found,1940,37.2375,-92.78694,"(37.2375, -92.78694)",POINT (-92.78694 37.2375),None_Found,Missouri,Webster County,United States,481.0,MO,29
34,St. Francois County,23085,Valid,"Iron, IC",3600.0,Found,1863,37.75,-90.5,"(37.75, -90.5)",POINT (-90.5 37.75),None_Found,Missouri,St. Francois County,United States,296.0,MO,29
35,St. Genevieve County,23086,Valid,"Iron, IIIF",244500.0,Found,1888,37.96667,-90.31667,"(37.96667, -90.31667)",POINT (-90.31667 37.96667),None_Found,Missouri,Sainte Genevieve County,United States,234.0,MO,29
36,Ash Creek,48954,Valid,L6,9500.0,Fell,2009,31.805,-97.01,"(31.805, -97.01)",POINT (-97.01 31.805),None_Found,Texas,McLennan County,United States,170.0,TX,48
37,Bells,5005,Valid,C2-ung,375.0,Fell,1961,33.6,-96.46667,"(33.6, -96.46667)",POINT (-96.46667 33.6),None_Found,Texas,Grayson County,United States,216.0,TX,48
38,Blanket,5071,Valid,L6,5100.0,Fell,1909,31.83333,-98.83333,"(31.83333, -98.83333)",POINT (-98.83333 31.83333),None_Found,Texas,Brown County,United States,534.0,TX,48
39,Florence,10111,Valid,H3,3640.0,Fell,1922,30.83333,-97.76667,"(30.83333, -97.76667)",POINT (-97.76667 30.83333),None_Found,Texas,Williamson County,United States,310.0,TX,48
40,Harleton,11830,Valid,L6,8360.0,Fell,1961,32.675,-94.51167,"(32.675, -94.51167)",POINT (-94.51167 32.675),None_Found,Texas,Harrison County,United States,93.0,TX,48
41,Kendleton,12275,Valid,L4,6937.0,Fell,1939,29.45,-96.0,"(29.45, -96.0)",POINT (-96 29.45),None_Found,Texas,Fort Bend County,United States,31.0,TX,48
42,Kirbyville,12321,Valid,Eucrite-mmict,97.7,Fell,1906,30.75,-95.95,"(30.75, -95.95)",POINT (-95.95 30.75),None_Found,Texas,Grimes County,United States,96.0,TX,48
43,Monahans (1998),16719,Valid,H5,2587.0,Fell,1998,31.60833,-102.85833,"(31.60833, -102.85833)",POINT (-102.85833 31.60833),None_Found,Texas,Ward County,United States,812.0,TX,48
44,Peña Blanca Spring,18786,Valid,Aubrite,70000.0,Fell,1946,30.125,-103.11667,"(30.125, -103.11667)",POINT (-103.11667 30.125),None_Found,Texas,Brewster County,United States,1220.0,TX,48
45,Plantersville,18846,Valid,H6,2085.0,Fell,1930,30.7,-96.11667,"(30.7, -96.11667)",POINT (-96.11667 30.7),None_Found,Texas,Grimes County,United States,85.0,TX,48
46,Richland Springs,22602,Valid,OC,1900.0,Fell,1980,31.25,-99.03333,"(31.25, -99.03333)",POINT (-99.03333 31.25),None_Found,Texas,San Saba County,United States,497.0,TX,48
47,Troup,24054,Valid,L6,1020.0,Fell,1917,32.16667,-95.1,"(32.16667, -95.1)",POINT (-95.1 32.16667),None_Found,Texas,Smith County,United States,143.0,TX,48
48,Abernathy,7,Valid,L6,2914.0,Found,1941,33.85,-101.8,"(33.85, -101.8)",POINT (-101.8 33.85),None_Found,Texas,Hale County,United States,1016.0,TX,48
49,Ackerly,55379,Valid,L5,3046.0,Found,1995,32.59033,-101.77217,"(32.59033, -101.77217)",POINT (-101.77217 32.59033),None_Found,Texas,Dawson County,United States,868.0,TX,48
50,Adrian,388,Valid,H4,22600.0,Found,1936,35.15,-102.71667,"(35.15, -102.71667)",POINT (-102.71667 35.15),None_Found,Texas,Deaf Smith County,United States,1268.0,TX,48
51,Aiken,421,Valid,OC,956.0,Found,1936,34.2,-101.5,"(34.2, -101.5)",POINT (-101.5 34.2),None_Found,Texas,Floyd County,United States,1005.0,TX,48
52,Allen,2277,Valid,H4,1407.0,Found,1923,33.1,-96.7,"(33.1, -96.7)",POINT (-96.7 33.1),None_Found,Texas,Collin County,United States,200.0,TX,48
53,Allred,2280,Valid,L4,6570.0,Found,1978,33.1,-102.95,"(33.1, -102.95)",POINT (-102.95 33.1),None_Found,Texas,Yoakum County,United States,1126.0,TX,48
54,Anton,2311,Valid,H4,41800.0,Found,1965,33.7825,-102.18111,"(33.7825, -102.18111)",POINT (-102.18111 33.7825),None_Found,Texas,Hockley County,United States,1037.0,TX,48
55,Ashmore,2349,Valid,H5,55400.0,Found,1969,32.9,-102.28333,"(32.9, -102.28333)",POINT (-102.28333 32.9),None_Found,Texas,Gaines County,United States,962.0,TX,48
56,Axtell,4911,Valid,CV3,6200.0,Found,1943,31.66,-96.97167,"(31.66, -96.97167)",POINT (-96.97167 31.66),None_Found,Texas,McLennan County,United States,163.0,TX,48
57,Ballinger,4930,Valid,"Iron, IAB-MG",1250.0,Found,1927,31.76667,-99.98333,"(31.76667, -99.98333)",POINT (-99.98333 31.76667),None_Found,Texas,Runnels County,United States,526.0,TX,48
58,Barrilla,4952,Valid,H5,11100.0,Found,1994,30.78333,-103.46667,"(30.78333, -103.46667)",POINT (-103.46667 30.78333),None_Found,Texas,Pecos County,United States,1078.0,TX,48
59,Bartlett,4953,Valid,"Iron, IIIAB",8590.0,Found,1938,30.83333,-97.5,"(30.83333, -97.5)",POINT (-97.5 30.83333),None_Found,Texas,Bell County,United States,212.0,TX,48
60,Barwise,4955,Valid,H5,10400.0,Found,1950,34.0,-101.5,"(34.0, -101.5)",POINT (-101.5 34),None_Found,Texas,Floyd County,United States,982.0,TX,48
61,Benjamin,5020,Valid,H4/5,51800.0,Found,1969,33.58333,-99.8,"(33.58333, -99.8)",POINT (-99.8 33.58333),None_Found,Texas,Knox County,United States,449.0,TX,48
62,Bledsoe,5074,Valid,H4,30500.0,Found,1970,33.59167,-103.02667,"(33.59167, -103.02667)",POINT (-103.02667 33.59167),None_Found,Texas,Cochran County,United States,1208.0,TX,48
63,Bluff (a),5087,Valid,L5,153300.0,Found,1878,29.87861,-96.87222,"(29.87861, -96.87222)",POINT (-96.87222 29.87861),None_Found,Texas,Fayette County,United States,122.0,TX,48
64,Bluff (b),5088,Valid,L4,16000.0,Found,1917,29.86306,-96.92667,"(29.86306, -96.92667)",POINT (-96.92667 29.86306),None_Found,Texas,Fayette County,United States,96.0,TX,48
65,Boerne,5095,Valid,H6,1100.0,Found,1932,29.8,-98.8,"(29.8, -98.8)",POINT (-98.8 29.8),None_Found,Texas,Kendall County,United States,533.0,TX,48
66,Brady,5129,Valid,L6,927.0,Found,1937,31.05,-99.46667,"(31.05, -99.46667)",POINT (-99.46667 31.05),None_Found,Texas,McCulloch County,United States,590.0,TX,48
67,Briscoe,5142,Valid,L5,1773.0,Found,1940,34.35,-101.4,"(34.35, -101.4)",POINT (-101.4 34.35),None_Found,Texas,Briscoe County,United States,1001.0,TX,48
68,Bronco,5147,Valid,OC,972.0,Found,1971,33.28333,-102.96667,"(33.28333, -102.96667)",POINT (-102.96667 33.28333),None_Found,Texas,Yoakum County,United States,1162.0,TX,48
69,Bronco (b),5148,Valid,OC,101.0,Found,1980,33.275,-102.96,"(33.275, -102.96)",POINT (-102.96 33.275),None_Found,Texas,Yoakum County,United States,1152.0,TX,48
70,Bronco (c),5149,Valid,OC,53.0,Found,1980,33.275,-102.96,"(33.275, -102.96)",POINT (-102.96 33.275),None_Found,Texas,Yoakum County,United States,1152.0,TX,48
71,Brownfield (1937),5151,Valid,H3.7,40960.0,Found,1937,33.21667,-102.18333,"(33.21667, -102.18333)",POINT (-102.18333 33.21667),None_Found,Texas,Terry County,United States,989.0,TX,48
72,Brownfield (1964),5152,Valid,H5,4100.0,Found,1964,33.21667,-102.18333,"(33.21667, -102.18333)",POINT (-102.18333 33.21667),None_Found,Texas,Terry County,United States,989.0,TX,48
73,Brownfield (c),5153,Valid,OC,1550.0,Found,1974,33.135,-102.27833,"(33.135, -102.27833)",POINT (-102.27833 33.135),None_Found,Texas,Terry County,United States,1006.0,TX,48
74,Brownfield (iron),5154,Valid,"Iron, IID",1626.0,Found,1960,33.21667,-102.18333,"(33.21667, -102.18333)",POINT (-102.18333 33.21667),None_Found,Texas,Terry County,United States,989.0,TX,48
75,Buffalo Gap,51831,Valid,"Iron, IAB-ung",9300.0,Found,2003,32.246109999999994,-99.99306,"(32.24611, -99.99306)",POINT (-99.99306 32.24611),None_Found,Texas,Taylor County,United States,681.0,TX,48
76,Burkett,5170,Valid,"Iron, IAB-MG",8400.0,Found,1913,32.03333,-99.25,"(32.03333, -99.25)",POINT (-99.25 32.03333),None_Found,Texas,Coleman County,United States,486.0,TX,48
77,Calliham,5201,Valid,L6,40000.0,Found,1958,28.41667,-98.25,"(28.41667, -98.25)",POINT (-98.25 28.41667),None_Found,Texas,Live Oak County,United States,47.0,TX,48
78,Canyon,5255,Valid,H?,860.0,Found,1957,34.96667,-101.93333,"(34.96667, -101.93333)",POINT (-101.93333 34.96667),None_Found,Texas,Randall County,United States,1075.0,TX,48
79,Carlton,5277,Valid,"Iron, IAB-sLM",81200.0,Found,1887,31.91667,-98.03333,"(31.91667, -98.03333)",POINT (-98.03333 31.91667),None_Found,Texas,Hamilton County,United States,339.0,TX,48
80,Cedar (Texas),5303,Valid,H4,26000.0,Found,1900,29.82806,-96.90861,"(29.82806, -96.90861)",POINT (-96.90861 29.82806),None_Found,Texas,Fayette County,United States,118.0,TX,48
81,Cee Vee,5305,Valid,H5,3600.0,Found,1959,34.2,-100.48333,"(34.2, -100.48333)",POINT (-100.48333 34.2),None_Found,Texas,Cottle County,United States,602.0,TX,48
82,Chamberlin,5317,Valid,H5,2400.0,Found,1941,36.2,-102.45,"(36.2, -102.45)",POINT (-102.45 36.2),None_Found,Texas,Dallam County,United States,1230.0,TX,48
83,Channing,5324,Valid,H5,15300.0,Found,1936,35.71667,-102.28333,"(35.71667, -102.28333)",POINT (-102.28333 35.71667),None_Found,Texas,Hartley County,United States,1147.0,TX,48
84,Chico Mountains,5348,Valid,"Iron, IIAB",212.0,Found,1915,29.0,-103.25,"(29.0, -103.25)",POINT (-103.25 29),None_Found,Texas,Brewster County,United States,624.0,TX,48
85,Circle Back,5367,Valid,L6,2268.0,Found,1977,34.02806,-102.68,"(34.02806, -102.68)",POINT (-102.68 34.02806),None_Found,Texas,Bailey County,United States,1185.0,TX,48
86,Clarendon (a),5369,Valid,H5,1964.0,Found,1979,34.905,-100.91333,"(34.905, -100.91333)",POINT (-100.91333 34.905),None_Found,Texas,Donley County,United States,873.0,TX,48
87,Clarendon (b),5370,Valid,H5,26.8,Found,1981,34.93611,-100.94167,"(34.93611, -100.94167)",POINT (-100.94167 34.93611),None_Found,Texas,Donley County,United States,868.0,TX,48
88,Claytonville,5375,Valid,L5,15600.0,Found,1964,34.34667,-101.49,"(34.34667, -101.49)",POINT (-101.49 34.34667),None_Found,Texas,Swisher County,United States,1010.0,TX,48
89,Claytonville (b),5376,Valid,OC,5136.0,Found,1978,34.34833,-101.65833,"(34.34833, -101.65833)",POINT (-101.65833 34.34833),None_Found,Texas,Swisher County,United States,1035.0,TX,48
90,Cleburne,5377,Valid,"Iron, IVA",6800.0,Found,1907,32.31667,-97.41667,"(32.31667, -97.41667)",POINT (-97.41667 32.31667),None_Found,Texas,Johnson County,United States,243.0,TX,48
91,Comanche (iron),5414,Valid,"Iron, IAB-sLL",19700.0,Found,1940,32.01667,-98.7,"(32.01667, -98.7)",POINT (-98.7 32.01667),None_Found,Texas,Comanche County,United States,423.0,TX,48
92,Comanche (stone),5415,Valid,L5,2400.0,Found,1956,31.991670000000006,-98.65167,"(31.99167, -98.65167)",POINT (-98.65167 31.99167),None_Found,Texas,Comanche County,United States,407.0,TX,48
93,Concho,5417,Valid,L6,93500.0,Found,1939,32.0,-101.5,"(32.0, -101.5)",POINT (-101.5 32),None_Found,Texas,Glasscock County,United States,784.0,TX,48
94,Cranfills Gap,5464,Valid,H6,6000.0,Found,1940,31.75,-97.75,"(31.75, -97.75)",POINT (-97.75 31.75),None_Found,Texas,Bosque County,United States,299.0,TX,48
95,Cuero,5493,Valid,H5,46500.0,Found,1936,29.01667,-97.28333,"(29.01667, -97.28333)",POINT (-97.28333 29.01667),None_Found,Texas,DeWitt County,United States,80.0,TX,48
96,Dalhart,5508,Valid,H5,4400.0,Found,1968,36.04333,-102.40833,"(36.04333, -102.40833)",POINT (-102.40833 36.04333),None_Found,Texas,Hartley County,United States,1203.0,TX,48
97,Davis Mountains,6615,Valid,"Iron, IIIAB",689000.0,Found,1903,30.75,-104.25,"(30.75, -104.25)",POINT (-104.25 30.75),None_Found,Texas,Jeff Davis County,United States,1687.0,TX,48
98,Davy (a),6616,Valid,L4,50600.0,Found,1940,29.1,-97.6,"(29.1, -97.6)",POINT (-97.6 29.1),None_Found,Texas,DeWitt County,United States,149.0,TX,48
99,Davy (b),6617,Valid,H4,3770.0,Found,1981,29.00833,-97.70556,"(29.00833, -97.70556)",POINT (-97.70556 29.00833),None_Found,Texas,DeWitt County,United States,119.0,TX,48
100,Dawn (a),6618,Valid,H6,7682.0,Found,1981,34.86,-102.12,"(34.86, -102.12)",POINT (-102.12 34.86),None_Found,Texas,Randall County,United States,1127.0,TX,48
101,Dawn (b),6619,Valid,H4/5,257.6,Found,1981,34.86,-102.12,"(34.86, -102.12)",POINT (-102.12 34.86),None_Found,Texas,Randall County,United States,1127.0,TX,48
102,Del Rio,6639,Valid,"Iron, IIF",3596.0,Found,1965,29.366670000000006,-100.96667,"(29.36667, -100.96667)",POINT (-100.96667 29.36667),None_Found,Texas,Val Verde County,United States,288.0,TX,48
103,Denton County,6659,Valid,"Iron, IIIAB",5400.0,Found,1856,33.0,-97.0,"(33.0, -97.0)",POINT (-97 33),None_Found,Texas,Denton County,United States,167.0,TX,48
104,Denver City,6661,Valid,"Iron, ungrouped",26100.0,Found,1975,33.07139,-102.80028,"(33.07139, -102.80028)",POINT (-102.80028 33.07139),None_Found,Texas,Yoakum County,United States,1094.0,TX,48
105,Deport,6662,Valid,"Iron, IAB-sLL",15000.0,Found,1926,33.51667,-95.3,"(33.51667, -95.3)",POINT (-95.3 33.51667),None_Found,Texas,Red River County,United States,131.0,TX,48
106,Deport (a),6663,Valid,H4,604.0,Found,1944,33.51667,-95.3,"(33.51667, -95.3)",POINT (-95.3 33.51667),None_Found,Texas,Red River County,United States,131.0,TX,48
107,Dexter,6697,Valid,"Iron, IIIAB",1724.0,Found,1889,33.81667,-97.0,"(33.81667, -97.0)",POINT (-97 33.81667),None_Found,Texas,Cooke County,United States,234.0,TX,48
108,Dimmitt,7645,Valid,H3.7,200000.0,Found,1942,34.58333,-102.16667,"(34.58333, -102.16667)",POINT (-102.16667 34.58333),None_Found,Texas,Castro County,United States,1154.0,TX,48
109,Dimmitt (b),7646,Valid,OC,2800.0,Found,1981,34.48333,-102.32833,"(34.48333, -102.32833)",POINT (-102.32833 34.48333),None_Found,Texas,Castro County,United States,1162.0,TX,48
110,Dougherty,7724,Valid,L6,1113.0,Found,2002,33.97917,-101.2,"(33.97917, -101.2)",POINT (-101.2 33.97917),None_Found,Texas,Floyd County,United States,952.0,TX,48
111,Dumas (a),7741,Valid,H5,46050.0,Found,1956,35.9,-101.9,"(35.9, -101.9)",POINT (-101.9 35.9),None_Found,Texas,Moore County,United States,1094.0,TX,48
112,Dumas (b),7742,Valid,H6,2284.0,Found,1980,35.925,-101.895,"(35.925, -101.895)",POINT (-101.895 35.925),None_Found,Texas,Moore County,United States,1086.0,TX,48
113,Dumont,47341,Valid,"Iron, IVB",27420.0,Found,1994,33.81667,-100.51667,"(33.81667, -100.51667)",POINT (-100.51667 33.81667),None_Found,Texas,King County,United States,623.0,TX,48
114,Duncanville,7744,Valid,H,17800.0,Found,1961,32.63333,-96.86667,"(32.63333, -96.86667)",POINT (-96.86667 32.63333),None_Found,Texas,Dallas County,United States,207.0,TX,48
115,Edmonson (a),7768,Valid,L6,12000.0,Found,1955,34.28333,-101.83333,"(34.28333, -101.83333)",POINT (-101.83333 34.28333),None_Found,Texas,Hale County,United States,1057.0,TX,48
116,Edmonson (b),7769,Valid,H4,14402.0,Found,1981,34.28333,-101.83333,"(34.28333, -101.83333)",POINT (-101.83333 34.28333),None_Found,Texas,Hale County,United States,1057.0,TX,48
117,El Paso,7812,Valid,LL4,276.0,Found,1950,31.78333,-106.23333,"(31.78333, -106.23333)",POINT (-106.23333 31.78333),None_Found,Texas,El Paso County,United States,1217.0,TX,48
118,Elton,10029,Valid,"Iron, ungrouped",1900.0,Found,1936,33.71667,-100.83333,"(33.71667, -100.83333)",POINT (-100.83333 33.71667),None_Found,Texas,Dickens County,United States,797.0,TX,48
119,Estacado,10057,Valid,H6,290000.0,Found,1883,33.9,-101.75,"(33.9, -101.75)",POINT (-101.75 33.9),None_Found,Texas,Hale County,United States,1011.0,TX,48
120,Etter,10062,Valid,L5,450000.0,Found,1965,35.98333,-101.9,"(35.98333, -101.9)",POINT (-101.9 35.98333),None_Found,Texas,Moore County,United States,1086.0,TX,48
121,Eunice,10064,Valid,H5,2300.0,Found,1961,34.47,-101.75833,"(34.47, -101.75833)",POINT (-101.75833 34.47),None_Found,Texas,Swisher County,United States,1059.0,TX,48
122,Fairview,10070,Valid,"Iron, IIIAB",28800.0,Found,1986,34.10139,-102.65,"(34.10139, -102.65)",POINT (-102.65 34.10139),None_Found,Texas,Bailey County,United States,1177.0,TX,48
123,Ferguson Switch,10089,Valid,H5,1700.0,Found,1937,34.0,-101.5,"(34.0, -101.5)",POINT (-101.5 34),None_Found,Texas,Floyd County,United States,982.0,TX,48
124,Fife,30563,Valid,H5,8600.0,Found,2003,31.38972,-99.40583,"(31.38972, -99.40583)",POINT (-99.40583 31.38972),None_Found,Texas,McCulloch County,United States,450.0,TX,48
125,Finney,10104,Valid,L5,10700.0,Found,1962,34.26667,-101.56667,"(34.26667, -101.56667)",POINT (-101.56667 34.26667),None_Found,Texas,Hale County,United States,1015.0,TX,48
126,Finney (c),10105,Valid,OC,492.0,Found,1978,34.29833,-101.68333,"(34.29833, -101.68333)",POINT (-101.68333 34.29833),None_Found,Texas,Hale County,United States,1034.0,TX,48
127,Flagg,10108,Valid,L5,7000.0,Found,1954,34.43333,-102.51667,"(34.43333, -102.51667)",POINT (-102.51667 34.43333),None_Found,Texas,Castro County,United States,1187.0,TX,48
128,Florey,10112,Valid,H6,110800.0,Found,1978,32.5225,-102.705,"(32.5225, -102.705)",POINT (-102.705 32.5225),None_Found,Texas,Andrews County,United States,999.0,TX,48
129,Floydada,10114,Valid,"Iron, IIIAB",12500.0,Found,1912,33.98333,-101.28333,"(33.98333, -101.28333)",POINT (-101.28333 33.98333),None_Found,Texas,Floyd County,United States,961.0,TX,48
130,Floydada (b),10115,Valid,H5,6266.0,Found,1999,33.98333,-101.33333,"(33.98333, -101.33333)",POINT (-101.33333 33.98333),None_Found,Texas,Floyd County,United States,969.0,TX,48
131,Fluvanna (a),10116,Valid,L5,9500.0,Found,1967,32.8,-101.11667,"(32.8, -101.11667)",POINT (-101.11667 32.8),None_Found,Texas,Scurry County,United States,771.0,TX,48
132,Fluvanna (b),10117,Valid,H6,4110.0,Found,1976,32.90333,-101.16278,"(32.90333, -101.16278)",POINT (-101.16278 32.90333),None_Found,Texas,Scurry County,United States,826.0,TX,48
133,Forestburg (a),10121,Valid,L4,26100.0,Found,1957,33.50667,-97.65139,"(33.50667, -97.65139)",POINT (-97.65139 33.50667),None_Found,Texas,Montague County,United States,285.0,TX,48
134,Forestburg (b),10122,Valid,L5,26600.0,Found,1957,33.49556,-97.58861,"(33.49556, -97.58861)",POINT (-97.58861 33.49556),None_Found,Texas,Montague County,United States,300.0,TX,48
135,Fort Stockton,10168,Valid,Iron,4762.8,Found,1952,30.91667,-103.06667,"(30.91667, -103.06667)",POINT (-103.06667 30.91667),None_Found,Texas,Pecos County,United States,947.0,TX,48
136,Foster,10170,Valid,H4,1992.0,Found,1975,33.1,-102.26667,"(33.1, -102.26667)",POINT (-102.26667 33.1),None_Found,Texas,Terry County,United States,991.0,TX,48
137,Frankel City,10175,Valid,L6,4700.0,Found,1977,32.33333,-102.745,"(32.33333, -102.745)",POINT (-102.745 32.33333),None_Found,Texas,Andrews County,United States,1000.0,TX,48
138,Friona,10184,Valid,L5,21900.0,Found,1981,34.54,-102.56833,"(34.54, -102.56833)",POINT (-102.56833 34.54),None_Found,Texas,Parmer County,United States,1219.0,TX,48
139,Gail,10843,Valid,H4,4650.0,Found,1948,32.7,-101.6,"(32.7, -101.6)",POINT (-101.6 32.7),None_Found,Texas,Borden County,United States,780.0,TX,48
140,Gaines County Park,10844,Valid,H5,13700.0,Found,1977,32.83333,-102.73333,"(32.83333, -102.73333)",POINT (-102.73333 32.83333),None_Found,Texas,Gaines County,United States,1047.0,TX,48
141,Glen Rose (iron),10932,Valid,"Iron, ungrouped",11000.0,Found,1934,32.25,-97.71667,"(32.25, -97.71667)",POINT (-97.71667 32.25),None_Found,Texas,Somervell County,United States,189.0,TX,48
142,Gomez,10944,Valid,L6,47000.0,Found,1974,33.18139,-102.40139,"(33.18139, -102.40139)",POINT (-102.40139 33.18139),None_Found,Texas,Terry County,United States,1029.0,TX,48
