,COU,Large subnational region,Land cover class,Value,Unit Code
1509,ARG,Buenos Aires,Artificial surfaces,2820.47958,KM2
1514,ARG,Buenos Aires,Bare area,87.099068,KM2
1529,ARG,Santa Fe,Shrubland,13116.25406,KM2
1534,ARG,La Rioja,Shrubland,52640.219068,KM2
1539,ARG,La Rioja,Sparse vegetation,19410.804008,KM2
1549,ARG,Tierra Del Fuego,Inland water,870.449692,KM2
1564,ARG,Neuquen,Wetland,26.353844,KM2
1569,ARG,Neuquen,Shrubland,51900.45662,KM2
1589,ARG,Tucuman,Cropland,8047.119216,KM2
1604,ARM,Shirak,Wetland,0.154568,KM2
1609,ARM,Shirak,Cropland,1908.14196,KM2
1624,ARM,Lori,Cropland,1999.800784,KM2
1629,ARM,Lori,Artificial surfaces,51.70299599999999,KM2
1639,ARM,Kotayk,Tree cover,240.585092,KM2
1644,ARM,Kotayk,Shrubland,6.414572,KM2
1649,ARM,Kotayk,Inland water,0.77284,KM2
1689,ARM,Aragatsotn,Tree cover,478.15610799999996,KM2
1694,ARM,Aragatsotn,Shrubland,5.5644480000000005,KM2
1699,ARM,Aragatsotn,Cropland,1855.0478519999997,KM2
1734,ARM,Ararat,Cropland,1106.9387319999998,KM2
1744,ARM,Vayots Dzor,Shrubland,328.534284,KM2
1749,ARM,Vayots Dzor,Sparse vegetation,29.522488,KM2
1764,ARM,Gergharkunik,Artificial surfaces,52.398552,KM2
1779,ARM,Syunik,Shrubland,223.04162399999998,KM2
1784,ARM,Syunik,Cropland,2145.635692,KM2
1789,ARM,Syunik,Bare area,67.391648,KM2
1799,ARM,Tavush,Inland water,5.178027999999999,KM2
1824,ABW,Administrative unit not available,Grassland,15.147664,KM2
1829,ABW,Administrative unit not available,Wetland,2.550372,KM2
1834,ABW,Administrative unit not available,Inland water,6.337288000000001,KM2
1849,AZE,Yukhari Garabakh,Shrubland,463.31758,KM2
1854,AZE,Daghlig Shirvan,Shrubland,204.957168,KM2
1859,AZE,Daghlig Shirvan,Artificial surfaces,10.742476,KM2
1864,AZE,Absheron,Wetland,0.154568,KM2
1869,AZE,Absheron,Bare area,1234.7664679999998,KM2
1874,AZE,Absheron,Inland water,608.379648,KM2
1894,AZE,Aran,Inland water,559.304308,KM2
1904,AZE,Guba-Khachmaz,Grassland,721.05972,KM2
1914,AZE,Administrative unit not available,Artificial surfaces,242.362624,KM2
1919,AZE,Administrative unit not available,Bare area,493.76747600000004,KM2
1934,AZE,Shaki-Zaqatala,Inland water,16.306924000000002,KM2
1949,AZE,Ganja-Gazakh,Cropland,7157.503092000001,KM2
1964,BHS,Administrative unit not available,Sparse vegetation,37.637308000000004,KM2
1969,BHR,Isa Town,Bare area,2.086668,KM2
1984,BHR,Hamad Town,Wetland,0.0,KM2
1989,BHR,Hamad Town,Shrubland,0.0,KM2
1994,BHR,Hamad Town,Cropland,0.154568,KM2
1999,BHR,Jidhafs,Inland water,0.0,KM2
2009,BHR,Riffa,Cropland,0.077284,KM2
2034,BHR,Sitra,Wetland,0.0,KM2
2044,BHR,Northern Region,Tree cover,0.0,KM2
2054,BHR,Hawar Island,Wetland,0.077284,KM2
2059,BHR,Hawar Island,Shrubland,2.2412360000000002,KM2
2064,BHR,Hawar Island,Bare area,31.763724,KM2
2069,BHR,Hidd,Shrubland,0.0,KM2
2074,BHR,Hidd,Artificial surfaces,1.081976,KM2
2089,BGD,Chittagong,Sparse vegetation,1.15926,KM2
2099,BGD,Rangpur,Bare area,44.902004000000005,KM2
2119,BGD,Barisal,Shrubland,2.550372,KM2
2129,BRB,St. Andrew,Sparse vegetation,0.0,KM2
2134,BRB,Christ Church,Shrubland,0.0,KM2
2139,BRB,Christ Church,Bare area,0.0,KM2
2144,BRB,Christ Church,Inland water,0.463704,KM2
2164,BRB,St. George,Wetland,0.0,KM2
2174,BRB,St. Peter,Shrubland,0.0,KM2
2179,BRB,St. Tomas,Inland water,0.0,KM2
2194,BRB,St. Joseph,Inland water,0.231852,KM2
2229,BRB,St. John,Bare area,0.0,KM2
2244,BLR,Mogilev,Tree cover,11860.543628,KM2
2249,BLR,Mogilev,Artificial surfaces,251.327568,KM2
2279,BLR,Gomel,Sparse vegetation,1.313828,KM2
2284,BLR,Grodno,Cropland,14783.26994,KM2
2289,BLZ,Toledo,Tree cover,4020.7001,KM2
2294,BLZ,Toledo,Sparse vegetation,0.0,KM2
2299,BLZ,Toledo,Bare area,1.081976,KM2
2309,BLZ,Orange Walk,Wetland,11.515316,KM2
2314,BLZ,Orange Walk,Cropland,1043.411284,KM2
2324,BLZ,Stann Creek,Wetland,10.04692,KM2
2329,BLZ,Stann Creek,Shrubland,59.19954400000001,KM2
2339,BLZ,Belize,Bare area,5.100744,KM2
2344,BLZ,Belize,Inland water,236.025336,KM2
2354,BLZ,Corozal,Sparse vegetation,0.0,KM2
2369,BLZ,Cayo,Wetland,0.463704,KM2
2374,BLZ,Cayo,Bare area,0.0,KM2
2379,BLZ,Cayo,Inland water,0.154568,KM2
2389,BEN,Donga,Sparse vegetation,0.0,KM2
2414,BEN,Littoral,Sparse vegetation,0.0,KM2
2419,BEN,Littoral,Artificial surfaces,54.562504000000004,KM2
2429,BEN,Plateau,Wetland,0.0,KM2
2434,BEN,Plateau,Artificial surfaces,22.644212,KM2
2444,BEN,Collines,Grassland,0.0,KM2
2449,BEN,Collines,Sparse vegetation,0.0,KM2
2459,BEN,Couffo,Artificial surfaces,14.452108,KM2
2469,BEN,Atakora,Tree cover,5710.90118,KM2
2474,BEN,Atakora,Wetland,0.154568,KM2
2479,BEN,Oueme,Sparse vegetation,0.38642,KM2
2489,BEN,Zou,Sparse vegetation,0.0,KM2
2494,BEN,Zou,Artificial surfaces,72.72424400000001,KM2
2504,BEN,Alibori,Wetland,0.0,KM2
2509,BEN,Borgou,Artificial surfaces,44.670152,KM2
2514,BEN,Atlantique,Grassland,0.463704,KM2
2519,BEN,Atlantique,Wetland,12.520008,KM2
2524,BMU,Administrative unit not available,Cropland,2.627656,KM2
2529,BMU,Administrative unit not available,Artificial surfaces,3.0140759999999998,KM2
2534,BTN,Monggar,Tree cover,1836.5769759999998,KM2
2539,BTN,Monggar,Sparse vegetation,0.0,KM2
2549,BTN,Tsirang,Tree cover,613.171256,KM2
2554,BTN,Tsirang,Wetland,0.0,KM2
2569,BTN,Samdrupjongkhar,Grassland,7.728399999999999,KM2
2574,BTN,Samdrupjongkhar,Shrubland,55.489912000000004,KM2
2579,BTN,Samdrupjongkhar,Cropland,139.65218800000002,KM2
2584,BTN,Samdrupjongkhar,Artificial surfaces,0.0,KM2
2594,BTN,Bumthang,Artificial surfaces,0.0,KM2
2604,BTN,Wangduephodrang,Tree cover,2939.728792,KM2
2609,BTN,Wangduephodrang,Grassland,830.184728,KM2
2614,BTN,Gasa,Inland water,2.7049399999999997,KM2
2624,BTN,Pemagatshel,Sparse vegetation,0.0,KM2
2629,BTN,Thimphu,Bare area,88.258328,KM2
2634,BTN,Dagana,Tree cover,1560.3639600000001,KM2
2639,BTN,Dagana,Inland water,0.231852,KM2
2654,BTN,Sarpang,Sparse vegetation,0.0,KM2
2659,BTN,Trashiyangtse,Cropland,82.38474400000001,KM2
2679,BTN,Paro,Wetland,0.0,KM2
2684,BTN,Lhuentse,Shrubland,19.630136,KM2
2689,BTN,Lhuentse,Artificial surfaces,0.0,KM2
2704,BTN,Trongsa,Sparse vegetation,1.004692,KM2
2714,BTN,Trashigang,Tree cover,2022.8314159999998,KM2
2754,BOL,Chuquisaca,Bare area,540.7561479999999,KM2
2774,BOL,Santa Cruz,Inland water,1308.41812,KM2
2784,BOL,La Paz,Tree cover,77147.20732,KM2
2789,BOL,La Paz,Cropland,4258.657536000001,KM2
2809,BOL,Pando,Tree cover,62601.353828,KM2
2814,BOL,Pando,Cropland,852.82894,KM2
2824,BOL,Oruro,Grassland,5869.487948,KM2
2829,BOL,Oruro,Cropland,510.22896799999995,KM2
2834,BOL,Oruro,Inland water,2110.935176,KM2
2844,BOL,Cochabamba,Grassland,12975.21076,KM2
2849,BOL,Cochabamba,Cropland,4715.019556,KM2
2854,BOL,Cochabamba,Bare area,467.722768,KM2
2859,BOL,Cochabamba,Inland water,159.59145999999998,KM2
2874,BOL,Beni,Artificial surfaces,43.66546,KM2
2889,BOL,Tarija,Tree cover,20095.153828000002,KM2
2894,BOL,Tarija,Wetland,11.515316,KM2
2899,BOL,Tarija,Inland water,37.791876,KM2
2914,BOL,Potosi,Bare area,48138.348783999994,KM2
2929,BIH,Republika Srpska,Tree cover,14459.527264,KM2
2934,BIH,Republika Srpska,Wetland,13.370132,KM2
2939,BIH,Republika Srpska,Shrubland,123.731684,KM2
2944,BIH,Republika Srpska,Artificial surfaces,168.78825600000002,KM2
2959,BIH,Federacija Bosne I Hercegovine,Sparse vegetation,23.880755999999998,KM2
2964,BIH,Federacija Bosne I Hercegovine,Bare area,9.815068,KM2
2969,BWA,Kgatleng,Shrubland,5839.5790400000005,KM2
2984,BWA,Ghanzi,Grassland,5653.9428720000005,KM2
3019,BWA,North East,Tree cover,824.2338599999999,KM2
3029,BWA,Ngamiland,Wetland,7294.45034,KM2
3034,BWA,Ngamiland,Shrubland,73126.739072,KM2
3049,BWA,Kgalagadi,Wetland,0.0,KM2
3054,BWA,Kgalagadi,Sparse vegetation,381.473824,KM2
3074,BWA,Southern,Shrubland,22387.088131999997,KM2
3079,BWA,Southern,Cropland,3729.2621360000003,KM2
3084,BWA,Southern,Artificial surfaces,50.69830400000001,KM2
3099,BWA,Chobe,Wetland,105.801796,KM2
3104,BWA,Chobe,Artificial surfaces,2.550372,KM2
3109,BWA,Chobe,Inland water,10.819759999999999,KM2
3129,BWA,South-East,Sparse vegetation,0.850124,KM2
3134,BWA,South-East,Inland water,17.234332,KM2
3159,BRA,Mato Grosso,Tree cover,427213.354708,KM2
3164,BRA,Mato Grosso,Shrubland,178325.71987200002,KM2
3169,BRA,Mato Grosso,Sparse vegetation,48.534352000000005,KM2
3174,BRA,Mato Grosso,Artificial surfaces,1162.969632,KM2
3189,BRA,Name Unknown,Artificial surfaces,0.0,KM2
3204,BRA,Para,Tree cover,983011.8286160001,KM2
3214,BRA,Tocantins,Grassland,15243.573444000001,KM2
3219,BRA,Tocantins,Wetland,6774.097168,KM2
3224,BRA,Tocantins,Shrubland,159458.454236,KM2
3229,BRA,Tocantins,Cropland,56567.173676000006,KM2
3239,BRA,Distrito Federal,Shrubland,2466.3642919999998,KM2
3244,BRA,Distrito Federal,Artificial surfaces,466.17708799999997,KM2
3259,BRA,Minas Gerais,Shrubland,176533.58119599998,KM2
3264,BRA,Minas Gerais,Sparse vegetation,155.80454400000002,KM2
3269,BRA,Minas Gerais,Cropland,250282.99745599998,KM2
3274,BRA,Minas Gerais,Artificial surfaces,2868.78208,KM2
3284,BRA,Bahia,Shrubland,171708.741076,KM2
3299,BRA,Rio Grande Do Sul,Wetland,2531.43742,KM2
3304,BRA,Rio Grande Do Sul,Sparse vegetation,43.974596,KM2
3309,BRA,Rio Grande Do Sul,Cropland,113610.725928,KM2
3314,BRA,Rio Grande Do Sul,Artificial surfaces,1743.990744,KM2
3319,BRA,Rio De Janeiro,Shrubland,7677.469844,KM2
3324,BRA,Rio De Janeiro,Cropland,8740.43398,KM2
3339,BRA,Amapa,Bare area,0.231852,KM2
3364,BRA,Piaui,Cropland,66360.29302,KM2
3404,BRA,Rondonia,Shrubland,2999.933028,KM2
3414,BRA,Acre,Grassland,20.86668,KM2
3419,BRA,Acre,Sparse vegetation,0.0,KM2
3444,BRA,Paraiba,Grassland,9649.371104,KM2
3449,BRA,Paraiba,Bare area,3.786916,KM2
3459,BRA,Pernambuco,Sparse vegetation,42.583484000000006,KM2
3474,BRA,Ceara,Shrubland,42341.816932,KM2
3479,BRA,Ceara,Sparse vegetation,100.93290400000001,KM2
3494,BRA,Goias,Wetland,1139.088876,KM2
3514,BRA,Parana,Shrubland,5295.11326,KM2
3519,BRA,Sergipe,Shrubland,726.0831800000001,KM2
3529,BRA,Santa Catarina,Cropland,19617.152288,KM2
3534,BRA,Santa Catarina,Artificial surfaces,1105.238484,KM2
3554,BRA,Amazonas,Sparse vegetation,4.2506200000000005,KM2
3574,BRA,Name Unknown,Grassland,0.0,KM2
3579,BRA,Name Unknown,Inland water,0.309136,KM2
3594,BRA,Rio Grande Do Norte,Sparse vegetation,97.841544,KM2
3599,BRA,Rio Grande Do Norte,Bare area,355.11998,KM2
3609,BRA,Mato Grosso Do Sul,Wetland,42489.815791999994,KM2
3614,BRA,Mato Grosso Do Sul,Cropland,179155.20904400002,KM2
3619,BRA,Mato Grosso Do Sul,Bare area,15.456799999999998,KM2
3624,BRA,Mato Grosso Do Sul,Inland water,5467.843,KM2
3639,BRA,Roraima,Tree cover,176048.237676,KM2
3644,BRA,Roraima,Shrubland,26744.360051999996,KM2
3649,BRA,Roraima,Bare area,8.037536,KM2
3664,BRA,Espirito Santo,Wetland,193.441852,KM2
3669,BRA,Espirito Santo,Artificial surfaces,464.63140799999996,KM2
3684,BRA,Maranhao,Shrubland,93419.894508,KM2
3689,BRA,Maranhao,Artificial surfaces,679.32636,KM2
3714,VGB,Tortola,Tree cover,42.042496,KM2
3719,VGB,Tortola,Sparse vegetation,0.154568,KM2
3729,VGB,Anegada,Cropland,0.309136,KM2
3734,VGB,Anegada,Inland water,6.260004,KM2
3749,VGB,Other Islands,Shrubland,0.0,KM2
3754,VGB,Other Islands,Artificial surfaces,0.0,KM2
3759,VGB,Other Islands,Inland water,4.2506200000000005,KM2
3779,VGB,Virgin Gorda,Wetland,1.854816,KM2
3809,VGB,Jost van Dyke,Tree cover,6.491855999999999,KM2
3814,VGB,Jost van Dyke,Wetland,0.38642,KM2
3829,BRN,Belait,Tree cover,2773.104488,KM2
3834,BRN,Belait,Wetland,0.0,KM2
3839,BRN,Belait,Shrubland,1.15926,KM2
3844,BRN,Belait,Sparse vegetation,0.077284,KM2
3849,BRN,Belait,Bare area,0.0,KM2
3854,BRN,Belait,Inland water,12.442723999999998,KM2
3869,BRN,Temburong,Grassland,0.0,KM2
3874,BRN,Temburong,Wetland,0.0,KM2
3879,BRN,Temburong,Shrubland,0.0,KM2
3899,BRN,Brunei and Muara,Shrubland,0.38642,KM2
3924,BRN,Tutong,Grassland,0.0,KM2
3929,BRN,Tutong,Sparse vegetation,0.618272,KM2
3934,BRN,Tutong,Bare area,0.0,KM2
3939,BRN,Tutong,Inland water,22.79878,KM2
3944,BFA,Centre-ouest,Shrubland,1388.097924,KM2
3949,BFA,Centre-ouest,Sparse vegetation,0.0,KM2
3954,BFA,Centre-ouest,Inland water,18.702728,KM2
3979,BFA,Centre,Wetland,0.850124,KM2
3984,BFA,Centre,Sparse vegetation,0.0,KM2
3989,BFA,Centre,Artificial surfaces,373.66814,KM2
4004,BFA,Nord,Shrubland,126.74576000000002,KM2
4024,BFA,Est,Sparse vegetation,5.719016,KM2
4029,BFA,Est,Bare area,0.0,KM2
4034,BFA,Est,Inland water,164.61491999999998,KM2
4049,BFA,Sud-ouest,Grassland,59.8951,KM2
4054,BFA,Sud-ouest,Sparse vegetation,0.0,KM2
4074,BFA,Centre-sud,Sparse vegetation,0.0,KM2
4084,BFA,Centre-est,Wetland,4.173336,KM2
4089,BFA,Centre-est,Sparse vegetation,0.0,KM2
4094,BFA,Centre-est,Artificial surfaces,22.876064,KM2
4099,BFA,Centre-est,Inland water,172.42060399999997,KM2
4114,BFA,Plateau Central,Artificial surfaces,8.192104,KM2
4129,BFA,Centre-nord,Cropland,11443.287312,KM2
4134,BFA,Centre-nord,Artificial surfaces,6.18272,KM2
4139,BFA,Centre-nord,Inland water,100.391916,KM2
4154,BFA,Sahel,Grassland,24985.067076,KM2
4159,BFA,Sahel,Shrubland,126.20477199999999,KM2
4164,BFA,Sahel,Bare area,1165.7518559999999,KM2
4169,BFA,Sahel,Inland water,28.904216,KM2
4179,BFA,Hauts-bassins,Bare area,0.0,KM2
4184,BFA,Hauts-bassins,Inland water,70.869428,KM2
4194,BFA,Boucle Du Mouhoun,Cropland,32967.80872,KM2
4199,BFA,Boucle Du Mouhoun,Artificial surfaces,30.681748,KM2
4209,BFA,Cascades,Shrubland,1733.0936999999997,KM2
4224,BDI,Ruyigi,Wetland,5.487164,KM2
4229,BDI,Ruyigi,Shrubland,275.672028,KM2
4234,BDI,Ruyigi,Artificial surfaces,1.15926,KM2
4254,BDI,Muyinga,Wetland,32.691132,KM2
4259,BDI,Muyinga,Bare area,0.0,KM2
4274,BDI,Makamba,Grassland,690.14612,KM2
4279,BDI,Makamba,Wetland,8.733092,KM2
4284,BDI,Makamba,Bare area,0.0,KM2
4294,BDI,Bubanza,Bare area,0.0,KM2
4309,BDI,Bujumbura Rural,Wetland,28.363227999999996,KM2
4319,BDI,Ngozi,Grassland,11.051611999999999,KM2
4334,BDI,Cibitoke,Wetland,3.786916,KM2
4344,BDI,Muramvya,Inland water,0.0,KM2
4354,BDI,Bururi,Grassland,214.23124800000002,KM2
4359,BDI,Bururi,Inland water,771.139752,KM2
4379,BDI,Rutana,Sparse vegetation,0.0,KM2
4389,BDI,Karuzi,Sparse vegetation,0.0,KM2
4394,BDI,Karuzi,Artificial surfaces,0.38642,KM2
4424,BDI,Gitega,Cropland,1106.475028,KM2
4429,BDI,Gitega,Artificial surfaces,6.491855999999999,KM2
4439,BDI,Kayanza,Tree cover,152.24948,KM2
4444,BDI,Kayanza,Grassland,3.0140759999999998,KM2
4449,BDI,Kayanza,Shrubland,3.632348,KM2
4454,BDI,Kayanza,Sparse vegetation,0.0,KM2
4479,BDI,Kirundo,Tree cover,266.088812,KM2
4484,BDI,Kirundo,Bare area,0.0,KM2
4504,BDI,Cankuzo,Wetland,0.618272,KM2
4509,BDI,Cankuzo,Sparse vegetation,0.0,KM2
4514,BDI,Cankuzo,Artificial surfaces,0.77284,KM2
4519,BDI,Cankuzo,Bare area,0.0,KM2
4524,BDI,Cankuzo,Inland water,0.463704,KM2
4534,BDI,Bujumbura Mairie,Shrubland,0.0,KM2
4539,BDI,Bujumbura Mairie,Sparse vegetation,0.0,KM2
4554,BDI,Mwaro,Shrubland,11.283463999999999,KM2
4559,BDI,Mwaro,Sparse vegetation,0.0,KM2
4564,KHM,Mondul Kiri,Shrubland,257.89670800000005,KM2
4569,KHM,Mondul Kiri,Bare area,0.0,KM2
4574,KHM,Mondul Kiri,Inland water,8.655808,KM2
4594,KHM,Kandal,Tree cover,35.086936,KM2
4599,KHM,Kandal,Sparse vegetation,1.15926,KM2
4614,KHM,Prey Veng,Inland water,46.911387999999995,KM2
4629,KHM,Area under National Administration 2,Cropland,0.463704,KM2
4634,KHM,Area under National Administration 2,Artificial surfaces,0.0,KM2
4639,KHM,Area under National Administration 2,Bare area,0.0,KM2
4649,KHM,Kep,Artificial surfaces,0.077284,KM2
4654,KHM,Kep,Bare area,0.0,KM2
4669,KHM,Koh Kong,Tree cover,10058.589883999999,KM2
