name,id,nametype,recclass,mass_grams,fall,year,reclat,reclong,geolocation,geometry,state_abbrev,state,county,country,elevation
Bath Furnace,4975,Valid,L6,86000.0,Fell,1902,38.25,-83.75,"(38.25, -83.75)",POINT (-83.75 38.25),None_Found,Kentucky,Bath County,United States,0.0
Battle Mountain,56133,Valid,L6,2900.0,Fell,2012,40.66813,-117.18913,"(40.66813, -117.18913)",POINT (-117.18913 40.66813),None_Found,Nevada,Humboldt County,United States,0.0
Baxter,4977,Valid,L6,611.0,Fell,1916,36.75,-93.5,"(36.75, -93.5)",POINT (-93.5 36.75),None_Found,Missouri,Stone County,United States,0.0
Beardsley,4984,Valid,H5,16000.0,Fell,1929,39.8,-101.2,"(39.8, -101.2)",POINT (-101.2 39.8),None_Found,Kansas,Rawlins County,United States,0.0
Beaver Creek,4986,Valid,H5,14000.0,Fell,1893,51.16667,-117.33333,"(51.16667, -117.33333)",POINT (-117.33333 51.16667),None_Found,British Columbia,Columbia-Shuswap Regional District,Canada,0.0
Bells,5005,Valid,C2-ung,375.0,Fell,1961,33.6,-96.46667,"(33.6, -96.46667)",POINT (-96.46667 33.6),None_Found,Texas,Grayson County,United States,0.0
Benld,5021,Valid,H6,1770.5,Fell,1938,39.08333,-89.15,"(39.08333, -89.15)",POINT (-89.15 39.08333),None_Found,Illinois,Fayette County,United States,0.0
Benton,5026,Valid,LL6,2840.0,Fell,1949,45.95,-67.55,"(45.95, -67.55)",POINT (-67.55 45.95),None_Found,New Brunswick / Nouveau-Brunswick,Woodstock Parish,Canada,0.0
Berthoud,47355,Valid,Eucrite-mmict,960.0,Fell,2004,40.30583,-105.02325,"(40.30583, -105.02325)",POINT (-105.02325 40.30583),None_Found,Colorado,Weld County,United States,0.0
Bethlehem,5032,Valid,H,13.9,Fell,1859,42.53333,-73.83333,"(42.53333, -73.83333)",POINT (-73.83333 42.53333),None_Found,New York,Albany County,United States,0.0
Bishopville,5059,Valid,Aubrite,6000.0,Fell,1843,34.16667,-80.28333,"(34.16667, -80.28333)",POINT (-80.28333 34.16667),None_Found,South Carolina,Lee County,United States,0.0
Black Moshannan Park,5065,Valid,L5,705.0,Fell,1941,40.91667,-78.08333,"(40.91667, -78.08333)",POINT (-78.08333 40.91667),None_Found,Pennsylvania,Centre County,United States,0.0
Blackwell,5068,Valid,L5,2381.0,Fell,1906,36.83333,-97.33333,"(36.83333, -97.33333)",POINT (-97.33333 36.83333),None_Found,Oklahoma,Kay County,United States,0.0
Blanket,5071,Valid,L6,5100.0,Fell,1909,31.83333,-98.83333,"(31.83333, -98.83333)",POINT (-98.83333 31.83333),None_Found,Texas,Brown County,United States,0.0
Bloomington,5076,Valid,LL6,67.8,Fell,1938,40.48,-89.00417,"(40.48, -89.00417)",POINT (-89.00417 40.48),None_Found,Illinois,McLean County,United States,0.0
Bocas,5093,Valid,L6,56.0,Fell,1804,23.0,-102.0,"(23.0, -102.0)",POINT (-102 23),None_Found,San Luis Potosí,Villa de Ramos,México,0.0
Bradford Woods,5128,Valid,L,762.0,Fell,1886,40.5,-80.08333,"(40.5, -80.08333)",POINT (-80.08333 40.5),None_Found,Pennsylvania,Allegheny County,United States,0.0
Bruderheim,5156,Valid,L6,303000.0,Fell,1960,53.9,-112.88333,"(53.9, -112.88333)",POINT (-112.88333 53.9),None_Found,Alberta,Lamont County,Canada,0.0
Burnwell,5175,Valid,H4-an,1504.0,Fell,1990,37.62194,-82.23722,"(37.62194, -82.23722)",POINT (-82.23722 37.62194),None_Found,Kentucky,Pike County,United States,0.0
Buzzard Coulee,48654,Valid,H4,41000.0,Fell,2008,52.996,-109.84817,"(52.996, -109.84817)",POINT (-109.84817 52.996),None_Found,Saskatchewan,Division No. 17,Canada,0.0
Cabin Creek,5186,Valid,"Iron, IIIAB",48500.0,Fell,1886,35.5,-93.5,"(35.5, -93.5)",POINT (-93.5 35.5),None_Found,Arkansas,Johnson County,United States,0.0
Canon City,5253,Valid,H6,1400.0,Fell,1973,38.470279999999995,-105.24139,"(38.47028, -105.24139)",POINT (-105.24139 38.47028),None_Found,Colorado,Fremont County,United States,0.0
Cape Girardeau,5260,Valid,H6,2300.0,Fell,1846,37.26667,-89.58333,"(37.26667, -89.58333)",POINT (-89.58333 37.26667),None_Found,Missouri,Cape Girardeau County,United States,0.0
Castalia,5291,Valid,H5,7300.0,Fell,1874,36.08333,-78.06667,"(36.08333, -78.06667)",POINT (-78.06667 36.08333),None_Found,North Carolina,Nash County,United States,0.0
Castine,5293,Valid,L6,94.0,Fell,1848,44.38333,-68.75,"(44.38333, -68.75)",POINT (-68.75 44.38333),None_Found,Maine,Hancock County,United States,0.0
Caswell County,5296,Valid,OC,1360.0,Fell,1810,36.5,-79.25,"(36.5, -79.25)",POINT (-79.25 36.5),None_Found,North Carolina,Caswell County,United States,0.0
Ceniceros,5306,Valid,L3.7,1025.0,Fell,1988,26.46667,-105.23333000000001,"(26.46667, -105.23333)",POINT (-105.23333 26.46667),None_Found,Durango,Ocampo,México,0.0
Centerville,5307,Valid,H5,45.6,Fell,1956,43.2,-96.91667,"(43.2, -96.91667)",POINT (-96.91667 43.2),None_Found,South Dakota,Lincoln County,United States,0.0
Charlotte,5328,Valid,"Iron, IVA",4300.0,Fell,1835,36.16667,-87.33333,"(36.16667, -87.33333)",POINT (-87.33333 36.16667),None_Found,Tennessee,Dickson County,United States,0.0
Cherokee Springs,5340,Valid,LL6,8400.0,Fell,1933,35.03333,-81.88333,"(35.03333, -81.88333)",POINT (-81.88333 35.03333),None_Found,South Carolina,Spartanburg County,United States,0.0
Chicora,5349,Valid,LL6,303.0,Fell,1938,40.93333,-79.73333000000001,"(40.93333, -79.73333)",POINT (-79.73333 40.93333),None_Found,Pennsylvania,Butler County,United States,0.0
Claxton,5374,Valid,L6,1455.0,Fell,1984,32.1025,-81.87278,"(32.1025, -81.87278)",POINT (-81.87278 32.1025),None_Found,Georgia,Evans County,United States,0.0
Colby (Wisconsin),5395,Valid,L6,104000.0,Fell,1917,44.9,-90.28333,"(44.9, -90.28333)",POINT (-90.28333 44.9),None_Found,Wisconsin,Marathon County,United States,0.0
Coleman,5401,Valid,L6,469.0,Fell,1994,43.761109999999995,-84.50778000000001,"(43.76111, -84.50778)",POINT (-84.50778 43.76111),None_Found,Michigan,Midland County,United States,0.0
Cosina,5451,Valid,H5,1200.0,Fell,1844,21.16667,-100.86667,"(21.16667, -100.86667)",POINT (-100.86667 21.16667),None_Found,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,México,0.0
Crescent,5470,Valid,CM2,78.4,Fell,1936,35.95,-97.58333,"(35.95, -97.58333)",POINT (-97.58333 35.95),None_Found,Oklahoma,Logan County,United States,0.0
Cross Roads,5476,Valid,H5,167.0,Fell,1892,35.63333,-78.13333,"(35.63333, -78.13333)",POINT (-78.13333 35.63333),None_Found,North Carolina,Wilson County,United States,0.0
Cumberland Falls,5496,Valid,Aubrite,17000.0,Fell,1919,36.83333,-84.35,"(36.83333, -84.35)",POINT (-84.35 36.83333),None_Found,Kentucky,McCreary County,United States,0.0
Cynthiana,5500,Valid,L/LL4,6000.0,Fell,1877,38.4,-84.25,"(38.4, -84.25)",POINT (-84.25 38.4),None_Found,Kentucky,Harrison County,United States,0.0
Danville,5514,Valid,L6,2000.0,Fell,1868,34.4,-87.06667,"(34.4, -87.06667)",POINT (-87.06667 34.4),None_Found,Alabama,Morgan County,United States,0.0
De Cewsville,6621,Valid,H6,340.0,Fell,1887,43.0,-80.0,"(43.0, -80.0)",POINT (-80 43),None_Found,Ontario,Haldimand County,Canada,0.0
Deal,6634,Valid,L6,28.0,Fell,1829,40.25,-74.0,"(40.25, -74.0)",POINT (-74 40.25),None_Found,New Jersey,Monmouth County,United States,0.0
Denver,6660,Valid,L6,230.0,Fell,1967,39.7825,-104.93056000000001,"(39.7825, -104.93056)",POINT (-104.93056 39.7825),None_Found,Colorado,,United States,0.0
Drake Creek,7728,Valid,L6,5000.0,Fell,1827,36.4,-86.5,"(36.4, -86.5)",POINT (-86.5 36.4),None_Found,Tennessee,Sumner County,United States,0.0
Dresden (Ontario),7731,Valid,H6,47700.0,Fell,1939,42.52,-82.26,"(42.52, -82.26)",POINT (-82.26 42.52),None_Found,Ontario,Chatham-Kent,Canada,0.0
Eagle,7760,Valid,EL6,10000.0,Fell,1947,40.78167,-96.47166999999999,"(40.78167, -96.47167)",POINT (-96.47167 40.78167),None_Found,Nebraska,Lancaster County,United States,0.0
El Paso de Aguila,45977,Valid,H5,17226.0,Fell,1977,25.37,-97.37,"(25.37, -97.37)",POINT (-97.37 25.37),None_Found,Tamaulipas,Municipio de Matamoros,México,0.0
El Tigre,7819,Valid,L6,5000.0,Fell,1993,19.96722,-103.05167,"(19.96722, -103.05167)",POINT (-103.05167 19.96722),None_Found,Jalisco,Mazamitla,México,0.0
Elbert,7822,Valid,LL6,680.5,Fell,1998,39.24667,-104.58816999999999,"(39.24667, -104.58817)",POINT (-104.58817 39.24667),None_Found,Colorado,Elbert County,United States,0.0
Estherville,10059,Valid,Mesosiderite-A3/4,320000.0,Fell,1879,43.41667,-94.83333,"(43.41667, -94.83333)",POINT (-94.83333 43.41667),None_Found,Iowa,Emmet County,United States,0.0
Farmington,10074,Valid,L5,89400.0,Fell,1890,39.75,-97.03333,"(39.75, -97.03333)",POINT (-97.03333 39.75),None_Found,Kansas,Washington County,United States,0.0
Farmville,10075,Valid,H4,56000.0,Fell,1934,35.55,-77.53333,"(35.55, -77.53333)",POINT (-77.53333 35.55),None_Found,North Carolina,Pitt County,United States,0.0
Fayetteville,10079,Valid,H4,2360.0,Fell,1934,36.05,-94.16667,"(36.05, -94.16667)",POINT (-94.16667 36.05),None_Found,Arkansas,Washington County,United States,0.0
Felix,10081,Valid,CO3.3,3200.0,Fell,1900,32.53333,-87.16667,"(32.53333, -87.16667)",POINT (-87.16667 32.53333),None_Found,Alabama,Perry County,United States,0.0
Ferguson,10088,Valid,OC,220.0,Fell,1889,36.1,-81.41667,"(36.1, -81.41667)",POINT (-81.41667 36.1),None_Found,North Carolina,Wilkes County,United States,0.0
Fisher,10107,Valid,L6,17600.0,Fell,1894,47.81667,-96.85,"(47.81667, -96.85)",POINT (-96.85 47.81667),None_Found,Minnesota,Polk County,United States,0.0
Florence,10111,Valid,H3,3640.0,Fell,1922,30.83333,-97.76666999999999,"(30.83333, -97.76667)",POINT (-97.76667 30.83333),None_Found,Texas,Williamson County,United States,0.0
Forest City,10119,Valid,H5,152000.0,Fell,1890,43.25,-93.66667,"(43.25, -93.66667)",POINT (-93.66667 43.25),None_Found,Iowa,Hancock County,United States,0.0
Forksville,10123,Valid,L6,6067.0,Fell,1924,36.78333,-78.08333,"(36.78333, -78.08333)",POINT (-78.08333 36.78333),None_Found,Virginia,Mecklenburg County,United States,0.0
Forsyth,10164,Valid,L6,16300.0,Fell,1829,33.01667,-83.96667,"(33.01667, -83.96667)",POINT (-83.96667 33.01667),None_Found,Georgia,Monroe County,United States,0.0
Frankfort (stone),10177,Valid,Howardite,650.0,Fell,1868,34.48333,-87.83333,"(34.48333, -87.83333)",POINT (-87.83333 34.48333),None_Found,Alabama,Franklin County,United States,0.0
Garland,10861,Valid,Diogenite-pm,102.0,Fell,1950,41.68333,-112.13333,"(41.68333, -112.13333)",POINT (-112.13333 41.68333),None_Found,Utah,Box Elder County,United States,0.0
Grimsby,50911,Valid,H5,215.0,Fell,2009,43.2,-79.61667,"(43.2, -79.61667)",POINT (-79.61667 43.2),None_Found,Ontario,Niagara Region,Canada,0.0
Hamlet,11485,Valid,LL4,3710.0,Fell,1959,41.38333,-86.6,"(41.38333, -86.6)",POINT (-86.6 41.38333),None_Found,Indiana,Starke County,United States,0.0
Harleton,11830,Valid,L6,8360.0,Fell,1961,32.675,-94.51167,"(32.675, -94.51167)",POINT (-94.51167 32.675),None_Found,Texas,Harrison County,United States,0.0
Harrison County,11842,Valid,L6,680.0,Fell,1859,38.25,-86.16667,"(38.25, -86.16667)",POINT (-86.16667 38.25),None_Found,Indiana,Harrison County,United States,0.0
Holbrook,11894,Valid,L/LL6,220000.0,Fell,1912,34.9,-110.18333,"(34.9, -110.18333)",POINT (-110.18333 34.9),None_Found,Arizona,Navajo County,United States,0.0
Homestead,11901,Valid,L5,230000.0,Fell,1875,41.8,-91.86667,"(41.8, -91.86667)",POINT (-91.86667 41.8),None_Found,Iowa,Iowa County,United States,0.0
Honolulu,11904,Valid,L5,2420.0,Fell,1825,21.3,-157.86667,"(21.3, -157.86667)",POINT (-157.86667 21.3),None_Found,Hawaii,Honolulu County,United States,0.0
Hoxie,11915,Valid,OC,266.1,Fell,1963,39.35,-100.45,"(39.35, -100.45)",POINT (-100.45 39.35),None_Found,Kansas,Sheridan County,United States,0.0
Independence,12028,Valid,L6,880.0,Fell,1917,39.08333,-94.4,"(39.08333, -94.4)",POINT (-94.4 39.08333),None_Found,Missouri,Jackson County,United States,0.0
Innisfree,12039,Valid,L5,4576.0,Fell,1977,53.415,-111.3375,"(53.415, -111.3375)",POINT (-111.3375 53.415),None_Found,Alberta,County of Minburn,Canada,0.0
Johnstown,12198,Valid,Diogenite,40300.0,Fell,1924,40.35,-104.9,"(40.35, -104.9)",POINT (-104.9 40.35),None_Found,Colorado,Weld County,United States,0.0
Kendleton,12275,Valid,L4,6937.0,Fell,1939,29.45,-96.0,"(29.45, -96.0)",POINT (-96 29.45),None_Found,Texas,Fort Bend County,United States,0.0
Kilbourn,12308,Valid,H5,772.0,Fell,1911,43.58333,-89.6,"(43.58333, -89.6)",POINT (-89.6 43.58333),None_Found,Wisconsin,Columbia County,United States,0.0
Kirbyville,12321,Valid,Eucrite-mmict,97.7,Fell,1906,30.75,-95.95,"(30.75, -95.95)",POINT (-95.95 30.75),None_Found,Texas,Grimes County,United States,0.0
Kitchener,12326,Valid,L6,202.6,Fell,1998,43.38333,-80.38333,"(43.38333, -80.38333)",POINT (-80.38333 43.38333),None_Found,Ontario,Region of Waterloo,Canada,0.0
La Charca,12394,Valid,OC,399.0,Fell,1878,20.66667,-101.28333,"(20.66667, -101.28333)",POINT (-101.28333 20.66667),None_Found,Guanajuato,Irapuato,México,0.0
Leedey,12755,Valid,L6,51500.0,Fell,1943,35.88333,-99.33333,"(35.88333, -99.33333)",POINT (-99.33333 35.88333),None_Found,Oklahoma,Dewey County,United States,0.0
Leighton,12760,Valid,H5,877.0,Fell,1907,34.58333,-87.5,"(34.58333, -87.5)",POINT (-87.5 34.58333),None_Found,Alabama,Lawrence County,United States,0.0
Little Piney,14664,Valid,L5,491.0,Fell,1839,37.91667,-92.08333,"(37.91667, -92.08333)",POINT (-92.08333 37.91667),None_Found,Missouri,Pulaski County,United States,0.0
Lorton,52843,Valid,L6,329.7,Fell,2010,38.70066,-77.21163,"(38.70066, -77.21163)",POINT (-77.21163 38.70066),None_Found,Virginia,Fairfax County,United States,0.0
Lost City,14711,Valid,H5,17000.0,Fell,1970,36.00833,-95.15,"(36.00833, -95.15)",POINT (-95.15 36.00833),None_Found,Oklahoma,Cherokee County,United States,0.0
Louisville,14716,Valid,L6,1300.0,Fell,1977,38.25,-85.75,"(38.25, -85.75)",POINT (-85.75 38.25),None_Found,Kentucky,Jefferson County,United States,0.0
Lumpkin,14753,Valid,L6,340.0,Fell,1869,32.03333,-84.76666999999999,"(32.03333, -84.76667)",POINT (-84.76667 32.03333),None_Found,Georgia,Stewart County,United States,0.0
Malaga,15393,Valid,OC,150.0,Fell,1933,32.21667,-104.0,"(32.21667, -104.0)",POINT (-104 32.21667),None_Found,New Mexico,Eddy County,United States,0.0
Mariaville,15419,Valid,Iron,340.0,Fell,1898,42.71667,-99.38333,"(42.71667, -99.38333)",POINT (-99.38333 42.71667),None_Found,Nebraska,Rock County,United States,0.0
Marion (Iowa),15424,Valid,L6,28400.0,Fell,1847,41.9,-91.6,"(41.9, -91.6)",POINT (-91.6 41.9),None_Found,Iowa,Linn County,United States,0.0
Maryville,15436,Valid,L6,1443.0,Fell,1983,35.8,-84.1,"(35.8, -84.1)",POINT (-84.1 35.8),None_Found,Tennessee,Blount County,United States,0.0
Mazapil,15453,Valid,"Iron, IAB-sLL",4000.0,Fell,1885,24.683329999999998,-101.68333,"(24.68333, -101.68333)",POINT (-101.68333 24.68333),None_Found,Zacatecas,Mazapil,México,0.0
Mifflin,52090,Valid,L5,3584.0,Fell,2010,42.9075,-90.36556,"(42.9075, -90.36556)",POINT (-90.36556 42.9075),None_Found,Wisconsin,Iowa County,United States,0.0
Miller (Arkansas),16645,Valid,H5,16700.0,Fell,1930,35.4,-92.05,"(35.4, -92.05)",POINT (-92.05 35.4),None_Found,Arkansas,Cleburne County,United States,0.0
Modoc (1905),16711,Valid,L6,35000.0,Fell,1905,38.5,-101.1,"(38.5, -101.1)",POINT (-101.1 38.5),None_Found,Kansas,Scott County,United States,0.0
Monahans (1998),16719,Valid,H5,2587.0,Fell,1998,31.60833,-102.85833000000001,"(31.60833, -102.85833)",POINT (-102.85833 31.60833),None_Found,Texas,Ward County,United States,0.0
Monroe,16720,Valid,H4,8600.0,Fell,1849,35.25,-80.5,"(35.25, -80.5)",POINT (-80.5 35.25),None_Found,North Carolina,Cabarrus County,United States,0.0
Moore County,16736,Valid,Eucrite-cm,1880.0,Fell,1913,35.41667,-79.38333,"(35.41667, -79.38333)",POINT (-79.38333 35.41667),None_Found,North Carolina,Moore County,United States,0.0
Murray,16882,Valid,CM2,12600.0,Fell,1950,36.6,-88.1,"(36.6, -88.1)",POINT (-88.1 36.6),None_Found,Kentucky,Calloway County,United States,0.0
Nanjemoy,16904,Valid,H6,7500.0,Fell,1825,38.41667,-77.16667,"(38.41667, -77.16667)",POINT (-77.16667 38.41667),None_Found,Maryland,Charles County,United States,0.0
New Concord,16953,Valid,L6,230000.0,Fell,1860,40.0,-81.76666999999999,"(40.0, -81.76667)",POINT (-81.76667 40),None_Found,Ohio,Muskingum County,United States,0.0
New Orleans,16960,Valid,H5,19256.0,Fell,2003,29.94718,-90.10976,"(29.94718, -90.10976)",POINT (-90.10976 29.94718),None_Found,Louisiana,Orleans Parish,United States,0.0
Nobleborough,16984,Valid,Eucrite-pmict,2300.0,Fell,1823,44.08333,-69.48333000000001,"(44.08333, -69.48333)",POINT (-69.48333 44.08333),None_Found,Maine,Lincoln County,United States,0.0
Noblesville,16985,Valid,H4-6,483.7,Fell,1991,40.08528,-86.055,"(40.08528, -86.055)",POINT (-86.055 40.08528),None_Found,Indiana,Hamilton County,United States,0.0
Norfork,16994,Valid,"Iron, IIIAB",1050.0,Fell,1918,36.21667,-92.26666999999999,"(36.21667, -92.26667)",POINT (-92.26667 36.21667),None_Found,Arkansas,Baxter County,United States,0.0
Norton County,17922,Valid,Aubrite,1100000.0,Fell,1948,39.68333,-99.86667,"(39.68333, -99.86667)",POINT (-99.86667 39.68333),None_Found,Kansas,Norton County,United States,0.0
Nuevo Mercurio,17938,Valid,H5,50000.0,Fell,1978,24.3,-102.13333,"(24.3, -102.13333)",POINT (-102.13333 24.3),None_Found,Zacatecas,Mazapil,México,0.0
Orlando,34489,Valid,Eucrite,180.0,Fell,2004,28.5475,-81.36222,"(28.5475, -81.36222)",POINT (-81.36222 28.5475),None_Found,Florida,Orange County,United States,0.0
Ottawa,18046,Valid,LL6,840.0,Fell,1896,38.6,-95.21667,"(38.6, -95.21667)",POINT (-95.21667 38.6),None_Found,Kansas,Franklin County,United States,0.0
Pacula,18068,Valid,L6,3400.0,Fell,1881,21.05,-99.3,"(21.05, -99.3)",POINT (-99.3 21.05),None_Found,Hidalgo,Pacula,México,0.0
Palmyra,18079,Valid,L3,135.0,Fell,1926,39.8,-91.5,"(39.8, -91.5)",POINT (-91.5 39.8),None_Found,Missouri,Marion County,United States,0.0
Palolo Valley,18082,Valid,H5,682.0,Fell,1949,21.3,-157.78333,"(21.3, -157.78333)",POINT (-157.78333 21.3),None_Found,Hawaii,Honolulu County,United States,0.0
Paragould,18101,Valid,LL5,408000.0,Fell,1930,36.06667,-90.5,"(36.06667, -90.5)",POINT (-90.5 36.06667),None_Found,Arkansas,Greene County,United States,0.0
Park Forest,18106,Valid,L5,18000.0,Fell,2003,41.48472,-87.67917,"(41.48472, -87.67917)",POINT (-87.67917 41.48472),None_Found,Illinois,Cook County,United States,0.0
Pasamonte,18110,Valid,Eucrite-pmict,5100.0,Fell,1933,36.21667,-103.4,"(36.21667, -103.4)",POINT (-103.4 36.21667),None_Found,New Mexico,Union County,United States,0.0
Peace River,18180,Valid,L6,45760.0,Fell,1963,56.13333000000001,-117.93333,"(56.13333, -117.93333)",POINT (-117.93333 56.13333),None_Found,Alberta,Municipal District of Peace,Canada,0.0
Peekskill,18782,Valid,H6,12570.0,Fell,1992,41.28333,-73.91667,"(41.28333, -73.91667)",POINT (-73.91667 41.28333),None_Found,New York,Westchester County,United States,0.0
Peña Blanca Spring,18786,Valid,Aubrite,70000.0,Fell,1946,30.125,-103.11667,"(30.125, -103.11667)",POINT (-103.11667 30.125),None_Found,Texas,Brewster County,United States,0.0
Petersburg,18801,Valid,Eucrite-pmict,1800.0,Fell,1855,35.3,-86.63333,"(35.3, -86.63333)",POINT (-86.63333 35.3),None_Found,Tennessee,Lincoln County,United States,0.0
Phillips County (stone),18808,Valid,L6,57900.0,Fell,1901,40.0,-99.25,"(40.0, -99.25)",POINT (-99.25 40),None_Found,Kansas,Phillips County,United States,0.0
Pitts,18837,Valid,"Iron, IAB-ung",3760.0,Fell,1921,31.95,-83.51666999999999,"(31.95, -83.51667)",POINT (-83.51667 31.95),None_Found,Georgia,Wilcox County,United States,0.0
Plantersville,18846,Valid,H6,2085.0,Fell,1930,30.7,-96.11667,"(30.7, -96.11667)",POINT (-96.11667 30.7),None_Found,Texas,Grimes County,United States,0.0
Portales Valley,18874,Valid,H6,71400.0,Fell,1998,34.175,-103.295,"(34.175, -103.295)",POINT (-103.295 34.175),None_Found,New Mexico,Roosevelt County,United States,0.0
Pricetown,18888,Valid,L6,900.0,Fell,1893,39.11667,-83.85,"(39.11667, -83.85)",POINT (-83.85 39.11667),None_Found,Ohio,Highland County,United States,0.0
Rancho de la Presa,22390,Valid,H5,300.0,Fell,1899,19.866670000000003,-100.81667,"(19.86667, -100.81667)",POINT (-100.81667 19.86667),None_Found,Michoacán,Zinapécuaro,México,0.0
Red Canyon Lake,53502,Valid,H5,18.41,Fell,2007,38.13742,-119.75811999999999,"(38.13742, -119.75812)",POINT (-119.75812 38.13742),None_Found,California,Tuolumne County,United States,0.0
Revelstoke,22592,Valid,CI1,1.0,Fell,1965,51.33333,-118.95,"(51.33333, -118.95)",POINT (-118.95 51.33333),None_Found,British Columbia,Columbia-Shuswap Regional District,Canada,0.0
Rich Mountain,22597,Valid,L6,668.0,Fell,1903,35.03333,-83.03333,"(35.03333, -83.03333)",POINT (-83.03333 35.03333),None_Found,North Carolina,Jackson County,United States,0.0
Richardton,22599,Valid,H5,90000.0,Fell,1918,46.88333,-102.31667,"(46.88333, -102.31667)",POINT (-102.31667 46.88333),None_Found,North Dakota,Stark County,United States,0.0
Richland Springs,22602,Valid,OC,1900.0,Fell,1980,31.25,-99.03333,"(31.25, -99.03333)",POINT (-99.03333 31.25),None_Found,Texas,San Saba County,United States,0.0
Richmond,22603,Valid,LL5,1800.0,Fell,1828,37.46667,-77.5,"(37.46667, -77.5)",POINT (-77.5 37.46667),None_Found,Virginia,Chesterfield County,United States,0.0
Rochester,22637,Valid,H6,340.0,Fell,1876,41.08333,-86.28333,"(41.08333, -86.28333)",POINT (-86.28333 41.08333),None_Found,Indiana,Fulton County,United States,0.0
Rose City,22766,Valid,H5,10600.0,Fell,1921,44.51667,-83.95,"(44.51667, -83.95)",POINT (-83.95 44.51667),None_Found,Michigan,Oscoda County,United States,0.0
Salem,23107,Valid,L6,61.4,Fell,1981,44.97917,-122.96943999999999,"(44.97917, -122.96944)",POINT (-122.96944 44.97917),None_Found,Oregon,Marion County,United States,0.0
San Juan Capistrano,23128,Valid,H6,56.0,Fell,1973,33.48472,-117.6625,"(33.48472, -117.6625)",POINT (-117.6625 33.48472),None_Found,California,Orange County,United States,0.0
San Pedro Jacuaro,34063,Valid,LL6,460.0,Fell,1968,19.76667,-100.65,"(19.76667, -100.65)",POINT (-100.65 19.76667),None_Found,Michoacán,Hidalgo,México,0.0
Santa Cruz,23164,Valid,CM2,60.0,Fell,1939,24.16667,-99.33333,"(24.16667, -99.33333)",POINT (-99.33333 24.16667),None_Found,Tamaulipas,Hidalgo,México,0.0
Schenectady,23458,Valid,H5,283.3,Fell,1968,42.86083,-73.95028,"(42.86083, -73.95028)",POINT (-73.95028 42.86083),None_Found,New York,Schenectady,United States,0.0
Searsmont,23472,Valid,H5,5400.0,Fell,1871,44.36667,-69.2,"(44.36667, -69.2)",POINT (-69.2 44.36667),None_Found,Maine,Waldo County,United States,0.0
Sharps,23525,Valid,H3.4,1265.0,Fell,1921,37.83333,-76.7,"(37.83333, -76.7)",POINT (-76.7 37.83333),None_Found,Virginia,Richmond County,United States,0.0
Shelburne,23529,Valid,L5,18600.0,Fell,1904,44.05,-80.16667,"(44.05, -80.16667)",POINT (-80.16667 44.05),None_Found,Ontario,Dufferin County,Canada,0.0
